Model,MDO3014
Firmware Version,1.14

Waveform Type,ANALOG,
-9.812000e+00,nan,nan
-9.810000e+00,nan,nan
-9.808000e+00,nan,nan
-9.806000e+00,nan,nan
-9.804000e+00,nan,nan
-9.802000e+00,nan,nan
-9.800000e+00,nan,nan
-9.798000e+00,nan,nan
-9.796000e+00,nan,nan
-9.794000e+00,nan,nan
-9.792000e+00,nan,nan
-9.790000e+00,nan,nan
-9.788000e+00,nan,nan
-9.786000e+00,nan,nan
-9.784000e+00,nan,nan
-9.782000e+00,nan,nan
-9.780000e+00,nan,nan
-9.778000e+00,nan,nan
-9.776000e+00,nan,nan
-9.774000e+00,nan,nan
-9.772000e+00,nan,nan
-9.770000e+00,nan,nan
-9.768000e+00,nan,nan
-9.766000e+00,nan,nan
-9.764000e+00,nan,nan
-9.762000e+00,nan,nan
-9.760000e+00,nan,nan
-9.758000e+00,nan,nan
-9.756000e+00,nan,nan
-9.754000e+00,nan,nan
-9.752000e+00,nan,nan
-9.750000e+00,nan,nan
-9.748000e+00,nan,nan
-9.746000e+00,nan,nan
-9.744000e+00,nan,nan
-9.742000e+00,nan,nan
-9.740000e+00,nan,nan
-9.738000e+00,nan,nan
-9.736000e+00,nan,nan
-9.734000e+00,nan,nan
-9.732000e+00,nan,nan
-9.730000e+00,nan,nan
-9.728000e+00,nan,nan
-9.726000e+00,nan,nan
-9.724000e+00,nan,nan
-9.722000e+00,nan,nan
-9.720000e+00,nan,nan
-9.718000e+00,nan,nan
-9.716000e+00,nan,nan
-9.714000e+00,nan,nan
-9.712000e+00,nan,nan
-9.710000e+00,nan,nan
-9.708000e+00,nan,nan
-9.706000e+00,nan,nan
-9.704000e+00,nan,nan
-9.702000e+00,nan,nan
-9.700000e+00,nan,nan
-9.698000e+00,nan,nan
-9.696000e+00,nan,nan
-9.694000e+00,nan,nan
-9.692000e+00,nan,nan
-9.690000e+00,nan,nan
-9.688000e+00,nan,nan
-9.686000e+00,nan,nan
-9.684000e+00,nan,nan
-9.682000e+00,nan,nan
-9.680000e+00,nan,nan
-9.678000e+00,nan,nan
-9.676000e+00,nan,nan
-9.674000e+00,nan,nan
-9.672000e+00,nan,nan
-9.670000e+00,nan,nan
-9.668000e+00,nan,nan
-9.666000e+00,nan,nan
-9.664000e+00,nan,nan
-9.662000e+00,nan,nan
-9.660000e+00,nan,nan
-9.658000e+00,nan,nan
-9.656000e+00,nan,nan
-9.654000e+00,nan,nan
-9.652000e+00,nan,nan
-9.650000e+00,nan,nan
-9.648000e+00,nan,nan
-9.646000e+00,nan,nan
-9.644000e+00,nan,nan
-9.642000e+00,nan,nan
-9.640000e+00,nan,nan
-9.638000e+00,nan,nan
-9.636000e+00,nan,nan
-9.634000e+00,nan,nan
-9.632000e+00,nan,nan
-9.630000e+00,nan,nan
-9.628000e+00,nan,nan
-9.626000e+00,nan,nan
-9.624000e+00,nan,nan
-9.622000e+00,nan,nan
-9.620000e+00,nan,nan
-9.618000e+00,nan,nan
-9.616000e+00,nan,nan
-9.614000e+00,nan,nan
-9.612000e+00,nan,nan
-9.610000e+00,nan,nan
-9.608000e+00,nan,nan
-9.606000e+00,nan,nan
-9.604000e+00,nan,nan
-9.602000e+00,nan,nan
-9.600000e+00,nan,nan
-9.598000e+00,nan,nan
-9.596000e+00,nan,nan
-9.594000e+00,nan,nan
-9.592000e+00,nan,nan
-9.590000e+00,nan,nan
-9.588000e+00,nan,nan
-9.586000e+00,nan,nan
-9.584000e+00,nan,nan
-9.582000e+00,nan,nan
-9.580000e+00,nan,nan
-9.578000e+00,nan,nan
-9.576000e+00,nan,nan
-9.574000e+00,nan,nan
-9.572000e+00,nan,nan
-9.570000e+00,nan,nan
-9.568000e+00,nan,nan
-9.566000e+00,nan,nan
-9.564000e+00,nan,nan
-9.562000e+00,nan,nan
-9.560000e+00,nan,nan
-9.558000e+00,nan,nan
-9.556000e+00,nan,nan
-9.554000e+00,nan,nan
-9.552000e+00,nan,nan
-9.550000e+00,nan,nan
-9.548000e+00,nan,nan
-9.546000e+00,nan,nan
-9.544000e+00,nan,nan
-9.542000e+00,nan,nan
-9.540000e+00,nan,nan
-9.538000e+00,nan,nan
-9.536000e+00,nan,nan
-9.534000e+00,nan,nan
-9.532000e+00,nan,nan
-9.530000e+00,nan,nan
-9.528000e+00,nan,nan
-9.526000e+00,nan,nan
-9.524000e+00,nan,nan
-9.522000e+00,nan,nan
-9.520000e+00,nan,nan
-9.518000e+00,nan,nan
-9.516000e+00,nan,nan
-9.514000e+00,nan,nan
-9.512000e+00,nan,nan
-9.510000e+00,nan,nan
-9.508000e+00,nan,nan
-9.506000e+00,nan,nan
-9.504000e+00,nan,nan
-9.502000e+00,nan,nan
-9.500000e+00,nan,nan
-9.498000e+00,nan,nan
-9.496000e+00,nan,nan
-9.494000e+00,nan,nan
-9.492000e+00,nan,nan
-9.490000e+00,nan,nan
-9.488000e+00,nan,nan
-9.486000e+00,nan,nan
-9.484000e+00,nan,nan
-9.482000e+00,nan,nan
-9.480000e+00,nan,nan
-9.478000e+00,nan,nan
-9.476000e+00,nan,nan
-9.474000e+00,nan,nan
-9.472000e+00,nan,nan
-9.470000e+00,nan,nan
-9.468000e+00,nan,nan
-9.466000e+00,nan,nan
-9.464000e+00,nan,nan
-9.462000e+00,nan,nan
-9.460000e+00,nan,nan
-9.458000e+00,nan,nan
-9.456000e+00,nan,nan
-9.454000e+00,nan,nan
-9.452000e+00,nan,nan
-9.450000e+00,nan,nan
-9.448000e+00,nan,nan
-9.446000e+00,nan,nan
-9.444000e+00,nan,nan
-9.442000e+00,nan,nan
-9.440000e+00,nan,nan
-9.438000e+00,nan,nan
-9.436000e+00,nan,nan
-9.434000e+00,nan,nan
-9.432000e+00,nan,nan
-9.430000e+00,nan,nan
-9.428000e+00,nan,nan
-9.426000e+00,nan,nan
-9.424000e+00,nan,nan
-9.422000e+00,nan,nan
-9.420000e+00,nan,nan
-9.418000e+00,nan,nan
-9.416000e+00,nan,nan
-9.414000e+00,nan,nan
-9.412000e+00,nan,nan
-9.410000e+00,nan,nan
-9.408000e+00,nan,nan
-9.406000e+00,nan,nan
-9.404000e+00,nan,nan
-9.402000e+00,nan,nan
-9.400000e+00,nan,nan
-9.398000e+00,nan,nan
-9.396000e+00,nan,nan
-9.394000e+00,nan,nan
-9.392000e+00,nan,nan
-9.390000e+00,nan,nan
-9.388000e+00,nan,nan
-9.386000e+00,nan,nan
-9.384000e+00,nan,nan
-9.382000e+00,nan,nan
-9.380000e+00,nan,nan
-9.378000e+00,nan,nan
-9.376000e+00,nan,nan
-9.374000e+00,nan,nan
-9.372000e+00,nan,nan
-9.370000e+00,nan,nan
-9.368000e+00,nan,nan
-9.366000e+00,nan,nan
-9.364000e+00,nan,nan
-9.362000e+00,nan,nan
-9.360000e+00,nan,nan
-9.358000e+00,nan,nan
-9.356000e+00,nan,nan
-9.354000e+00,nan,nan
-9.352000e+00,nan,nan
-9.350000e+00,nan,nan
-9.348000e+00,nan,nan
-9.346000e+00,nan,nan
-9.344000e+00,nan,nan
-9.342000e+00,nan,nan
-9.340000e+00,nan,nan
-9.338000e+00,nan,nan
-9.336000e+00,nan,nan
-9.334000e+00,nan,nan
-9.332000e+00,nan,nan
-9.330000e+00,nan,nan
-9.328000e+00,nan,nan
-9.326000e+00,nan,nan
-9.324000e+00,nan,nan
-9.322000e+00,nan,nan
-9.320000e+00,nan,nan
-9.318000e+00,nan,nan
-9.316000e+00,nan,nan
-9.314000e+00,nan,nan
-9.312000e+00,nan,nan
-9.310000e+00,nan,nan
-9.308000e+00,nan,nan
-9.306000e+00,nan,nan
-9.304000e+00,nan,nan
-9.302000e+00,nan,nan
-9.300000e+00,nan,nan
-9.298000e+00,nan,nan
-9.296000e+00,nan,nan
-9.294000e+00,nan,nan
-9.292000e+00,nan,nan
-9.290000e+00,nan,nan
-9.288000e+00,nan,nan
-9.286000e+00,nan,nan
-9.284000e+00,nan,nan
-9.282000e+00,nan,nan
-9.280000e+00,nan,nan
-9.278000e+00,nan,nan
-9.276000e+00,nan,nan
-9.274000e+00,nan,nan
-9.272000e+00,nan,nan
-9.270000e+00,nan,nan
-9.268000e+00,nan,nan
-9.266000e+00,nan,nan
-9.264000e+00,nan,nan
-9.262000e+00,nan,nan
-9.260000e+00,nan,nan
-9.258000e+00,nan,nan
-9.256000e+00,nan,nan
-9.254000e+00,nan,nan
-9.252000e+00,nan,nan
-9.250000e+00,nan,nan
-9.248000e+00,nan,nan
-9.246000e+00,nan,nan
-9.244000e+00,nan,nan
-9.242000e+00,nan,nan
-9.240000e+00,nan,nan
-9.238000e+00,nan,nan
-9.236000e+00,nan,nan
-9.234000e+00,nan,nan
-9.232000e+00,nan,nan
-9.230000e+00,nan,nan
-9.228000e+00,nan,nan
-9.226000e+00,nan,nan
-9.224000e+00,nan,nan
-9.222000e+00,nan,nan
-9.220000e+00,nan,nan
-9.218000e+00,nan,nan
-9.216000e+00,nan,nan
-9.214000e+00,nan,nan
-9.212000e+00,nan,nan
-9.210000e+00,nan,nan
-9.208000e+00,nan,nan
-9.206000e+00,nan,nan
-9.204000e+00,nan,nan
-9.202000e+00,nan,nan
-9.200000e+00,nan,nan
-9.198000e+00,nan,nan
-9.196000e+00,nan,nan
-9.194000e+00,nan,nan
-9.192000e+00,nan,nan
-9.190000e+00,nan,nan
-9.188000e+00,nan,nan
-9.186000e+00,nan,nan
-9.184000e+00,nan,nan
-9.182000e+00,nan,nan
-9.180000e+00,nan,nan
-9.178000e+00,nan,nan
-9.176000e+00,nan,nan
-9.174000e+00,nan,nan
-9.172000e+00,nan,nan
-9.170000e+00,nan,nan
-9.168000e+00,nan,nan
-9.166000e+00,nan,nan
-9.164000e+00,nan,nan
-9.162000e+00,nan,nan
-9.160000e+00,nan,nan
-9.158000e+00,nan,nan
-9.156000e+00,nan,nan
-9.154000e+00,nan,nan
-9.152000e+00,nan,nan
-9.150000e+00,nan,nan
-9.148000e+00,nan,nan
-9.146000e+00,nan,nan
-9.144000e+00,nan,nan
-9.142000e+00,nan,nan
-9.140000e+00,nan,nan
-9.138000e+00,nan,nan
-9.136000e+00,nan,nan
-9.134000e+00,nan,nan
-9.132000e+00,nan,nan
-9.130000e+00,nan,nan
-9.128000e+00,nan,nan
-9.126000e+00,nan,nan
-9.124000e+00,nan,nan
-9.122000e+00,nan,nan
-9.120000e+00,nan,nan
-9.118000e+00,nan,nan
-9.116000e+00,nan,nan
-9.114000e+00,nan,nan
-9.112000e+00,nan,nan
-9.110000e+00,nan,nan
-9.108000e+00,nan,nan
-9.106000e+00,nan,nan
-9.104000e+00,nan,nan
-9.102000e+00,nan,nan
-9.100000e+00,nan,nan
-9.098000e+00,nan,nan
-9.096000e+00,nan,nan
-9.094000e+00,nan,nan
-9.092000e+00,nan,nan
-9.090000e+00,nan,nan
-9.088000e+00,nan,nan
-9.086000e+00,nan,nan
-9.084000e+00,nan,nan
-9.082000e+00,nan,nan
-9.080000e+00,nan,nan
-9.078000e+00,nan,nan
-9.076000e+00,nan,nan
-9.074000e+00,nan,nan
-9.072000e+00,nan,nan
-9.070000e+00,nan,nan
-9.068000e+00,nan,nan
-9.066000e+00,nan,nan
-9.064000e+00,nan,nan
-9.062000e+00,nan,nan
-9.060000e+00,nan,nan
-9.058000e+00,nan,nan
-9.056000e+00,nan,nan
-9.054000e+00,nan,nan
-9.052000e+00,nan,nan
-9.050000e+00,nan,nan
-9.048000e+00,nan,nan
-9.046000e+00,nan,nan
-9.044000e+00,nan,nan
-9.042000e+00,nan,nan
-9.040000e+00,nan,nan
-9.038000e+00,nan,nan
-9.036000e+00,nan,nan
-9.034000e+00,nan,nan
-9.032000e+00,nan,nan
-9.030000e+00,nan,nan
-9.028000e+00,nan,nan
-9.026000e+00,nan,nan
-9.024000e+00,nan,nan
-9.022000e+00,nan,nan
-9.020000e+00,nan,nan
-9.018000e+00,nan,nan
-9.016000e+00,nan,nan
-9.014000e+00,nan,nan
-9.012000e+00,nan,nan
-9.010000e+00,nan,nan
-9.008000e+00,nan,nan
-9.006000e+00,nan,nan
-9.004000e+00,nan,nan
-9.002000e+00,nan,nan
-9.000000e+00,nan,nan
-8.998000e+00,nan,nan
-8.996000e+00,nan,nan
-8.994000e+00,nan,nan
-8.992000e+00,nan,nan
-8.990000e+00,nan,nan
-8.988000e+00,nan,nan
-8.986000e+00,nan,nan
-8.984000e+00,nan,nan
-8.982000e+00,nan,nan
-8.980000e+00,nan,nan
-8.978000e+00,nan,nan
-8.976000e+00,nan,nan
-8.974000e+00,nan,nan
-8.972000e+00,nan,nan
-8.970000e+00,nan,nan
-8.968000e+00,nan,nan
-8.966000e+00,nan,nan
-8.964000e+00,nan,nan
-8.962000e+00,nan,nan
-8.960000e+00,nan,nan
-8.958000e+00,nan,nan
-8.956000e+00,nan,nan
-8.954000e+00,nan,nan
-8.952000e+00,nan,nan
-8.950000e+00,nan,nan
-8.948000e+00,nan,nan
-8.946000e+00,nan,nan
-8.944000e+00,nan,nan
-8.942000e+00,nan,nan
-8.940000e+00,nan,nan
-8.938000e+00,nan,nan
-8.936000e+00,nan,nan
-8.934000e+00,nan,nan
-8.932000e+00,nan,nan
-8.930000e+00,nan,nan
-8.928000e+00,nan,nan
-8.926000e+00,nan,nan
-8.924000e+00,nan,nan
-8.922000e+00,nan,nan
-8.920000e+00,nan,nan
-8.918000e+00,nan,nan
-8.916000e+00,nan,nan
-8.914000e+00,nan,nan
-8.912000e+00,nan,nan
-8.910000e+00,nan,nan
-8.908000e+00,nan,nan
-8.906000e+00,nan,nan
-8.904000e+00,nan,nan
-8.902000e+00,nan,nan
-8.900000e+00,nan,nan
-8.898000e+00,nan,nan
-8.896000e+00,nan,nan
-8.894000e+00,nan,nan
-8.892000e+00,nan,nan
-8.890000e+00,nan,nan
-8.888000e+00,nan,nan
-8.886000e+00,nan,nan
-8.884000e+00,nan,nan
-8.882000e+00,nan,nan
-8.880000e+00,nan,nan
-8.878000e+00,nan,nan
-8.876000e+00,nan,nan
-8.874000e+00,nan,nan
-8.872000e+00,nan,nan
-8.870000e+00,nan,nan
-8.868000e+00,nan,nan
-8.866000e+00,nan,nan
-8.864000e+00,nan,nan
-8.862000e+00,nan,nan
-8.860000e+00,nan,nan
-8.858000e+00,nan,nan
-8.856000e+00,nan,nan
-8.854000e+00,nan,nan
-8.852000e+00,nan,nan
-8.850000e+00,nan,nan
-8.848000e+00,nan,nan
-8.846000e+00,nan,nan
-8.844000e+00,nan,nan
-8.842000e+00,nan,nan
-8.840000e+00,nan,nan
-8.838000e+00,nan,nan
-8.836000e+00,nan,nan
-8.834000e+00,nan,nan
-8.832000e+00,nan,nan
-8.830000e+00,nan,nan
-8.828000e+00,nan,nan
-8.826000e+00,nan,nan
-8.824000e+00,nan,nan
-8.822000e+00,nan,nan
-8.820000e+00,nan,nan
-8.818000e+00,nan,nan
-8.816000e+00,nan,nan
-8.814000e+00,nan,nan
-8.812000e+00,nan,nan
-8.810000e+00,nan,nan
-8.808000e+00,nan,nan
-8.806000e+00,nan,nan
-8.804000e+00,nan,nan
-8.802000e+00,nan,nan
-8.800000e+00,nan,nan
-8.798000e+00,nan,nan
-8.796000e+00,nan,nan
-8.794000e+00,nan,nan
-8.792000e+00,nan,nan
-8.790000e+00,nan,nan
-8.788000e+00,nan,nan
-8.786000e+00,nan,nan
-8.784000e+00,nan,nan
-8.782000e+00,nan,nan
-8.780000e+00,nan,nan
-8.778000e+00,nan,nan
-8.776000e+00,nan,nan
-8.774000e+00,nan,nan
-8.772000e+00,nan,nan
-8.770000e+00,nan,nan
-8.768000e+00,nan,nan
-8.766000e+00,nan,nan
-8.764000e+00,nan,nan
-8.762000e+00,nan,nan
-8.760000e+00,nan,nan
-8.758000e+00,nan,nan
-8.756000e+00,nan,nan
-8.754000e+00,nan,nan
-8.752000e+00,nan,nan
-8.750000e+00,nan,nan
-8.748000e+00,nan,nan
-8.746000e+00,nan,nan
-8.744000e+00,nan,nan
-8.742000e+00,nan,nan
-8.740000e+00,nan,nan
-8.738000e+00,nan,nan
-8.736000e+00,nan,nan
-8.734000e+00,nan,nan
-8.732000e+00,nan,nan
-8.730000e+00,nan,nan
-8.728000e+00,nan,nan
-8.726000e+00,nan,nan
-8.724000e+00,nan,nan
-8.722000e+00,nan,nan
-8.720000e+00,nan,nan
-8.718000e+00,nan,nan
-8.716000e+00,nan,nan
-8.714000e+00,nan,nan
-8.712000e+00,nan,nan
-8.710000e+00,nan,nan
-8.708000e+00,nan,nan
-8.706000e+00,nan,nan
-8.704000e+00,nan,nan
-8.702000e+00,nan,nan
-8.700000e+00,nan,nan
-8.698000e+00,nan,nan
-8.696000e+00,nan,nan
-8.694000e+00,nan,nan
-8.692000e+00,nan,nan
-8.690000e+00,nan,nan
-8.688000e+00,nan,nan
-8.686000e+00,nan,nan
-8.684000e+00,nan,nan
-8.682000e+00,nan,nan
-8.680000e+00,nan,nan
-8.678000e+00,nan,nan
-8.676000e+00,nan,nan
-8.674000e+00,nan,nan
-8.672000e+00,nan,nan
-8.670000e+00,nan,nan
-8.668000e+00,nan,nan
-8.666000e+00,nan,nan
-8.664000e+00,nan,nan
-8.662000e+00,nan,nan
-8.660000e+00,nan,nan
-8.658000e+00,nan,nan
-8.656000e+00,nan,nan
-8.654000e+00,nan,nan
-8.652000e+00,nan,nan
-8.650000e+00,nan,nan
-8.648000e+00,nan,nan
-8.646000e+00,nan,nan
-8.644000e+00,nan,nan
-8.642000e+00,nan,nan
-8.640000e+00,nan,nan
-8.638000e+00,nan,nan
-8.636000e+00,nan,nan
-8.634000e+00,nan,nan
-8.632000e+00,nan,nan
-8.630000e+00,nan,nan
-8.628000e+00,nan,nan
-8.626000e+00,nan,nan
-8.624000e+00,nan,nan
-8.622000e+00,nan,nan
-8.620000e+00,nan,nan
-8.618000e+00,nan,nan
-8.616000e+00,nan,nan
-8.614000e+00,nan,nan
-8.612000e+00,nan,nan
-8.610000e+00,nan,nan
-8.608000e+00,nan,nan
-8.606000e+00,nan,nan
-8.604000e+00,nan,nan
-8.602000e+00,nan,nan
-8.600000e+00,nan,nan
-8.598000e+00,nan,nan
-8.596000e+00,nan,nan
-8.594000e+00,nan,nan
-8.592000e+00,nan,nan
-8.590000e+00,nan,nan
-8.588000e+00,nan,nan
-8.586000e+00,nan,nan
-8.584000e+00,nan,nan
-8.582000e+00,nan,nan
-8.580000e+00,nan,nan
-8.578000e+00,nan,nan
-8.576000e+00,nan,nan
-8.574000e+00,nan,nan
-8.572000e+00,nan,nan
-8.570000e+00,nan,nan
-8.568000e+00,nan,nan
-8.566000e+00,nan,nan
-8.564000e+00,nan,nan
-8.562000e+00,nan,nan
-8.560000e+00,nan,nan
-8.558000e+00,nan,nan
-8.556000e+00,nan,nan
-8.554000e+00,nan,nan
-8.552000e+00,nan,nan
-8.550000e+00,nan,nan
-8.548000e+00,nan,nan
-8.546000e+00,nan,nan
-8.544000e+00,nan,nan
-8.542000e+00,nan,nan
-8.540000e+00,nan,nan
-8.538000e+00,nan,nan
-8.536000e+00,nan,nan
-8.534000e+00,nan,nan
-8.532000e+00,nan,nan
-8.530000e+00,nan,nan
-8.528000e+00,nan,nan
-8.526000e+00,nan,nan
-8.524000e+00,nan,nan
-8.522000e+00,nan,nan
-8.520000e+00,nan,nan
-8.518000e+00,nan,nan
-8.516000e+00,nan,nan
-8.514000e+00,nan,nan
-8.512000e+00,nan,nan
-8.510000e+00,nan,nan
-8.508000e+00,nan,nan
-8.506000e+00,nan,nan
-8.504000e+00,nan,nan
-8.502000e+00,nan,nan
-8.500000e+00,nan,nan
-8.498000e+00,nan,nan
-8.496000e+00,nan,nan
-8.494000e+00,nan,nan
-8.492000e+00,nan,nan
-8.490000e+00,nan,nan
-8.488000e+00,nan,nan
-8.486000e+00,nan,nan
-8.484000e+00,nan,nan
-8.482000e+00,nan,nan
-8.480000e+00,nan,nan
-8.478000e+00,nan,nan
-8.476000e+00,nan,nan
-8.474000e+00,nan,nan
-8.472000e+00,nan,nan
-8.470000e+00,nan,nan
-8.468000e+00,nan,nan
-8.466000e+00,nan,nan
-8.464000e+00,nan,nan
-8.462000e+00,nan,nan
-8.460000e+00,nan,nan
-8.458000e+00,nan,nan
-8.456000e+00,nan,nan
-8.454000e+00,nan,nan
-8.452000e+00,nan,nan
-8.450000e+00,nan,nan
-8.448000e+00,nan,nan
-8.446000e+00,nan,nan
-8.444000e+00,nan,nan
-8.442000e+00,nan,nan
-8.440000e+00,nan,nan
-8.438000e+00,nan,nan
-8.436000e+00,nan,nan
-8.434000e+00,nan,nan
-8.432000e+00,nan,nan
-8.430000e+00,nan,nan
-8.428000e+00,nan,nan
-8.426000e+00,nan,nan
-8.424000e+00,nan,nan
-8.422000e+00,nan,nan
-8.420000e+00,nan,nan
-8.418000e+00,nan,nan
-8.416000e+00,nan,nan
-8.414000e+00,nan,nan
-8.412000e+00,nan,nan
-8.410000e+00,nan,nan
-8.408000e+00,nan,nan
-8.406000e+00,nan,nan
-8.404000e+00,nan,nan
-8.402000e+00,nan,nan
-8.400000e+00,nan,nan
-8.398000e+00,nan,nan
-8.396000e+00,nan,nan
-8.394000e+00,nan,nan
-8.392000e+00,nan,nan
-8.390000e+00,nan,nan
-8.388000e+00,nan,nan
-8.386000e+00,nan,nan
-8.384000e+00,nan,nan
-8.382000e+00,nan,nan
-8.380000e+00,nan,nan
-8.378000e+00,nan,nan
-8.376000e+00,nan,nan
-8.374000e+00,nan,nan
-8.372000e+00,nan,nan
-8.370000e+00,nan,nan
-8.368000e+00,nan,nan
-8.366000e+00,nan,nan
-8.364000e+00,nan,nan
-8.362000e+00,nan,nan
-8.360000e+00,nan,nan
-8.358000e+00,nan,nan
-8.356000e+00,nan,nan
-8.354000e+00,nan,nan
-8.352000e+00,nan,nan
-8.350000e+00,nan,nan
-8.348000e+00,nan,nan
-8.346000e+00,nan,nan
-8.344000e+00,nan,nan
-8.342000e+00,nan,nan
-8.340000e+00,nan,nan
-8.338000e+00,nan,nan
-8.336000e+00,nan,nan
-8.334000e+00,nan,nan
-8.332000e+00,nan,nan
-8.330000e+00,nan,nan
-8.328000e+00,nan,nan
-8.326000e+00,nan,nan
-8.324000e+00,nan,nan
-8.322000e+00,nan,nan
-8.320000e+00,nan,nan
-8.318000e+00,nan,nan
-8.316000e+00,nan,nan
-8.314000e+00,nan,nan
-8.312000e+00,nan,nan
-8.310000e+00,nan,nan
-8.308000e+00,nan,nan
-8.306000e+00,nan,nan
-8.304000e+00,nan,nan
-8.302000e+00,nan,nan
-8.300000e+00,nan,nan
-8.298000e+00,nan,nan
-8.296000e+00,nan,nan
-8.294000e+00,nan,nan
-8.292000e+00,nan,nan
-8.290000e+00,nan,nan
-8.288000e+00,nan,nan
-8.286000e+00,nan,nan
-8.284000e+00,nan,nan
-8.282000e+00,nan,nan
-8.280000e+00,nan,nan
-8.278000e+00,nan,nan
-8.276000e+00,nan,nan
-8.274000e+00,nan,nan
-8.272000e+00,nan,nan
-8.270000e+00,nan,nan
-8.268000e+00,nan,nan
-8.266000e+00,nan,nan
-8.264000e+00,nan,nan
-8.262000e+00,nan,nan
-8.260000e+00,nan,nan
-8.258000e+00,nan,nan
-8.256000e+00,nan,nan
-8.254000e+00,nan,nan
-8.252000e+00,nan,nan
-8.250000e+00,nan,nan
-8.248000e+00,nan,nan
-8.246000e+00,nan,nan
-8.244000e+00,nan,nan
-8.242000e+00,nan,nan
-8.240000e+00,nan,nan
-8.238000e+00,nan,nan
-8.236000e+00,nan,nan
-8.234000e+00,nan,nan
-8.232000e+00,nan,nan
-8.230000e+00,nan,nan
-8.228000e+00,nan,nan
-8.226000e+00,nan,nan
-8.224000e+00,nan,nan
-8.222000e+00,nan,nan
-8.220000e+00,nan,nan
-8.218000e+00,nan,nan
-8.216000e+00,nan,nan
-8.214000e+00,nan,nan
-8.212000e+00,nan,nan
-8.210000e+00,nan,nan
-8.208000e+00,nan,nan
-8.206000e+00,nan,nan
-8.204000e+00,nan,nan
-8.202000e+00,nan,nan
-8.200000e+00,nan,nan
-8.198000e+00,nan,nan
-8.196000e+00,nan,nan
-8.194000e+00,nan,nan
-8.192000e+00,nan,nan
-8.190000e+00,nan,nan
-8.188000e+00,nan,nan
-8.186000e+00,nan,nan
-8.184000e+00,nan,nan
-8.182000e+00,nan,nan
-8.180000e+00,nan,nan
-8.178000e+00,nan,nan
-8.176000e+00,nan,nan
-8.174000e+00,nan,nan
-8.172000e+00,nan,nan
-8.170000e+00,nan,nan
-8.168000e+00,nan,nan
