Model,MDO3014
-9.198000e+00,0.52
-9.196000e+00,0.04
-9.194000e+00,0.52
-9.192000e+00,0.04
-9.190000e+00,0.52
-9.188000e+00,0.04
-9.186000e+00,0.44
-9.184000e+00,0.04
-9.182000e+00,0.44
-9.180000e+00,0.04
-9.178000e+00,0.52
-9.176000e+00,0.04
-9.174000e+00,0.52
-9.172000e+00,0.04
-9.170000e+00,0.44
-9.168000e+00,0.04
-9.166000e+00,0.52
-9.164000e+00,0.04
-9.162000e+00,0.52
-9.160000e+00,0.04
-9.158000e+00,0.44
-9.156000e+00,0.04
-9.154000e+00,0.52
-9.152000e+00,0.04
-9.150000e+00,0.52
-9.148000e+00,0.04
-9.146000e+00,0.52
-9.144000e+00,0.04
-9.142000e+00,0.44
-9.140000e+00,-0.04
-9.138000e+00,0.44
-9.136000e+00,0.04
-9.134000e+00,0.44
-9.132000e+00,0.04
-9.130000e+00,0.52
-9.128000e+00,0.04
-9.126000e+00,11.88
-9.124000e+00,11.4
-9.122000e+00,11.88
-9.120000e+00,11.4
-9.118000e+00,11.88
-9.116000e+00,11.4
-9.114000e+00,11.88
-9.112000e+00,11.4
-9.110000e+00,11.88
-9.108000e+00,11.4
-9.106000e+00,11.88
-9.104000e+00,11.4
-9.102000e+00,11.88
-9.100000e+00,11.4
-9.098000e+00,11.88
-9.096000e+00,11.4
-9.094000e+00,11.88
-9.092000e+00,11.4
-9.090000e+00,11.88
-9.088000e+00,11.32
-9.086000e+00,11.88
-9.084000e+00,11.4
-9.082000e+00,11.96
-9.080000e+00,11.4
-9.078000e+00,11.88
-9.076000e+00,11.4
-9.074000e+00,11.88
-9.072000e+00,11.4
-9.070000e+00,11.96
-9.068000e+00,11.4
-9.066000e+00,11.88
-9.064000e+00,11.4
-9.062000e+00,11.88
-9.060000e+00,11.4
-9.058000e+00,11.88
-9.056000e+00,11.4
-9.054000e+00,11.96
-9.052000e+00,11.4
-9.050000e+00,11.88
-9.048000e+00,11.4
-9.046000e+00,11.88
-9.044000e+00,11.4
-9.042000e+00,11.88
-9.040000e+00,11.4
-9.038000e+00,11.88
-9.036000e+00,11.4
-9.034000e+00,11.88
-9.032000e+00,11.4
-9.030000e+00,11.88
-9.028000e+00,11.32
-9.026000e+00,11.88
-9.024000e+00,-0.6
-9.022000e+00,11.88
-9.020000e+00,0.04
-9.018000e+00,0.44
-9.016000e+00,0.04
-9.014000e+00,0.52
-9.012000e+00,0.04
-9.010000e+00,0.52
-9.008000e+00,0.04
-9.006000e+00,0.52
-9.004000e+00,0.04
-9.002000e+00,0.52
-9.000000e+00,0.04
-8.998000e+00,0.44
-8.996000e+00,0.04
-8.994000e+00,0.52
-8.992000e+00,0.04
-8.990000e+00,0.52
-8.988000e+00,0.04
-8.986000e+00,0.52
-8.984000e+00,0.04
-8.982000e+00,0.44
-8.980000e+00,-0.04
-8.978000e+00,0.52
-8.976000e+00,0.04
-8.974000e+00,0.52
-8.972000e+00,0.04
-8.970000e+00,0.52
-8.968000e+00,0.04
-8.966000e+00,0.52
-8.964000e+00,0.04
-8.962000e+00,0.44
-8.960000e+00,0.04
-8.958000e+00,0.44
-8.956000e+00,0.04
-8.954000e+00,0.44
-8.952000e+00,0.04
-8.950000e+00,0.44
-8.948000e+00,0.04
-8.946000e+00,0.44
-8.944000e+00,-0.04
-8.942000e+00,0.52
-8.940000e+00,0.04
-8.938000e+00,0.52
-8.936000e+00,0.04
-8.934000e+00,0.52
-8.932000e+00,0.04
-8.930000e+00,0.52
-8.928000e+00,0.04
-8.926000e+00,0.52
-8.924000e+00,0.04
-8.922000e+00,0.52
-8.920000e+00,0.04
-8.918000e+00,0.44
-8.916000e+00,0.04
-8.914000e+00,0.44
-8.912000e+00,0.04
-8.910000e+00,0.52
-8.908000e+00,0.04
-8.906000e+00,0.52
-8.904000e+00,0.04
-8.902000e+00,0.52
-8.900000e+00,0.04
-8.898000e+00,0.44
-8.896000e+00,0.04
-8.894000e+00,0.44
-8.892000e+00,0.04
-8.890000e+00,0.52
-8.888000e+00,0.04
-8.886000e+00,0.52
-8.884000e+00,0.04
-8.882000e+00,0.52
-8.880000e+00,0.04
-8.878000e+00,0.44
-8.876000e+00,0.04
-8.874000e+00,0.52
-8.872000e+00,0.04
-8.870000e+00,0.44
-8.868000e+00,0.04
-8.866000e+00,0.52
-8.864000e+00,0.04
-8.862000e+00,0.52
-8.860000e+00,0.04
-8.858000e+00,0.44
-8.856000e+00,0.04
-8.854000e+00,0.52
-8.852000e+00,0.04
-8.850000e+00,0.52
-8.848000e+00,0.04
-8.846000e+00,0.44
-8.844000e+00,0.04
-8.842000e+00,0.52
-8.840000e+00,0.04
-8.838000e+00,0.52
-8.836000e+00,0.04
-8.834000e+00,0.44
-8.832000e+00,0.04
-8.830000e+00,0.52
-8.828000e+00,0.04
-8.826000e+00,0.52
-8.824000e+00,0.04
-8.822000e+00,0.52
-8.820000e+00,-0.04
-8.818000e+00,0.44
-8.816000e+00,0.04
-8.814000e+00,0.52
-8.812000e+00,0.04
-8.810000e+00,0.52
-8.808000e+00,0.04
-8.806000e+00,0.52
-8.804000e+00,0.04
-8.802000e+00,0.52
-8.800000e+00,0.04
-8.798000e+00,0.52
-8.796000e+00,0.04
-8.794000e+00,0.52
-8.792000e+00,0.04
-8.790000e+00,0.52
-8.788000e+00,0.04
-8.786000e+00,0.44
-8.784000e+00,0.04
-8.782000e+00,0.44
-8.780000e+00,0.04
-8.778000e+00,0.52
-8.776000e+00,0.04
-8.774000e+00,0.52
-8.772000e+00,0.04
-8.770000e+00,0.52
-8.768000e+00,0.04
-8.766000e+00,0.52
-8.764000e+00,0.04
-8.762000e+00,0.52
-8.760000e+00,0.04
-8.758000e+00,0.52
-8.756000e+00,-0.04
-8.754000e+00,0.44
-8.752000e+00,0.04
-8.750000e+00,0.52
-8.748000e+00,0.04
-8.746000e+00,0.52
-8.744000e+00,0.04
-8.742000e+00,0.44
-8.740000e+00,0.04
-8.738000e+00,0.44
-8.736000e+00,0.04
-8.734000e+00,0.52
-8.732000e+00,0.04
-8.730000e+00,0.44
-8.728000e+00,0.04
-8.726000e+00,0.52
-8.724000e+00,0.04
-8.722000e+00,0.52
-8.720000e+00,0.04
-8.718000e+00,0.44
-8.716000e+00,0.04
-8.714000e+00,0.52
-8.712000e+00,0.04
-8.710000e+00,0.52
-8.708000e+00,0.04
-8.706000e+00,0.44
-8.704000e+00,0.04
-8.702000e+00,0.52
-8.700000e+00,0.04
-8.698000e+00,0.52
-8.696000e+00,0.04
-8.694000e+00,0.52
-8.692000e+00,0.04
-8.690000e+00,0.44
-8.688000e+00,-0.04
-8.686000e+00,0.44
-8.684000e+00,0.04
-8.682000e+00,0.52
-8.680000e+00,-0.04
-8.678000e+00,0.44
-8.676000e+00,0.04
-8.674000e+00,0.44
-8.672000e+00,0.04
-8.670000e+00,0.52
-8.668000e+00,0.04
-8.666000e+00,0.44
-8.664000e+00,0.04
-8.662000e+00,0.52
-8.660000e+00,0.04
-8.658000e+00,0.52
-8.656000e+00,0.04
-8.654000e+00,0.52
-8.652000e+00,0.04
-8.650000e+00,0.52
-8.648000e+00,0.04
-8.646000e+00,0.44
-8.644000e+00,0.04
-8.642000e+00,0.44
-8.640000e+00,0.04
-8.638000e+00,0.44
-8.636000e+00,0.04
-8.634000e+00,0.44
-8.632000e+00,0.04
-8.630000e+00,11.88
-8.628000e+00,11.4
-8.626000e+00,11.88
-8.624000e+00,11.4
-8.622000e+00,11.88
-8.620000e+00,11.4
-8.618000e+00,11.88
-8.616000e+00,11.4
-8.614000e+00,11.88
-8.612000e+00,11.4
-8.610000e+00,11.88
-8.608000e+00,11.32
-8.606000e+00,11.88
-8.604000e+00,11.32
-8.602000e+00,11.88
-8.600000e+00,11.4
-8.598000e+00,11.88
-8.596000e+00,11.4
-8.594000e+00,11.88
-8.592000e+00,11.4
-8.590000e+00,11.88
-8.588000e+00,11.4
-8.586000e+00,11.96
-8.584000e+00,11.4
-8.582000e+00,11.88
-8.580000e+00,11.4
-8.578000e+00,11.88
-8.576000e+00,11.4
-8.574000e+00,11.88
-8.572000e+00,11.4
-8.570000e+00,11.88
-8.568000e+00,11.4
-8.566000e+00,11.88
-8.564000e+00,11.4
-8.562000e+00,11.88
-8.560000e+00,11.4
-8.558000e+00,11.88
-8.556000e+00,11.4
-8.554000e+00,11.88
-8.552000e+00,11.4
-8.550000e+00,11.88
-8.548000e+00,11.4
-8.546000e+00,11.88
-8.544000e+00,11.4
-8.542000e+00,11.88
-8.540000e+00,11.4
-8.538000e+00,11.88
-8.536000e+00,11.4
-8.534000e+00,11.88
-8.532000e+00,11.4
-8.530000e+00,11.88
-8.528000e+00,-0.68
-8.526000e+00,11.88
-8.524000e+00,0.04
-8.522000e+00,0.52
-8.520000e+00,0.04
-8.518000e+00,0.52
-8.516000e+00,0.04
-8.514000e+00,0.52
-8.512000e+00,-0.04
-8.510000e+00,0.52
-8.508000e+00,0.04
-8.506000e+00,0.52
-8.504000e+00,0.04
-8.502000e+00,0.52
-8.500000e+00,0.04
-8.498000e+00,0.52
-8.496000e+00,0.04
-8.494000e+00,0.44
-8.492000e+00,0.04
-8.490000e+00,0.44
-8.488000e+00,0.04
-8.486000e+00,0.52
-8.484000e+00,0.04
-8.482000e+00,0.52
-8.480000e+00,-0.04
-8.478000e+00,0.52
-8.476000e+00,0.04
-8.474000e+00,0.52
-8.472000e+00,0.04
-8.470000e+00,0.44
-8.468000e+00,0.04
-8.466000e+00,0.52
-8.464000e+00,0.04
-8.462000e+00,0.52
-8.460000e+00,0.04
-8.458000e+00,0.44
-8.456000e+00,0.04
-8.454000e+00,0.52
-8.452000e+00,0.04
-8.450000e+00,0.52
-8.448000e+00,0.04
-8.446000e+00,0.52
-8.444000e+00,0.04
-8.442000e+00,0.44
-8.440000e+00,0.04
-8.438000e+00,0.44
-8.436000e+00,0.04
-8.434000e+00,0.44
-8.432000e+00,0.04
-8.430000e+00,0.44
-8.428000e+00,-0.04
-8.426000e+00,0.44
-8.424000e+00,0.04
-8.422000e+00,0.52
-8.420000e+00,0.04
-8.418000e+00,0.52
-8.416000e+00,0.04
-8.414000e+00,0.52
-8.412000e+00,0.04
-8.410000e+00,0.52
-8.408000e+00,0.04
-8.406000e+00,0.52
-8.404000e+00,-0.04
-8.402000e+00,0.52
-8.400000e+00,0.04
-8.398000e+00,0.44
-8.396000e+00,0.04
-8.394000e+00,0.44
-8.392000e+00,0.04
-8.390000e+00,0.44
-8.388000e+00,0.04
-8.386000e+00,0.44
-8.384000e+00,0.04
-8.382000e+00,0.52
-8.380000e+00,0.04
-8.378000e+00,0.44
-8.376000e+00,0.04
-8.374000e+00,0.52
-8.372000e+00,0.04
-8.370000e+00,0.44
-8.368000e+00,0.04
-8.366000e+00,0.44
-8.364000e+00,0.04
-8.362000e+00,0.44
-8.360000e+00,0.04
-8.358000e+00,0.52
-8.356000e+00,0.04
-8.354000e+00,0.52
-8.352000e+00,0.04
-8.350000e+00,0.52
-8.348000e+00,0.04
-8.346000e+00,0.52
-8.344000e+00,0.04
-8.342000e+00,0.52
-8.340000e+00,0.04
-8.338000e+00,0.52
-8.336000e+00,0.04
-8.334000e+00,0.52
-8.332000e+00,0.04
-8.330000e+00,0.52
-8.328000e+00,0.04
-8.326000e+00,0.52
-8.324000e+00,0.04
-8.322000e+00,0.44
-8.320000e+00,0.04
-8.318000e+00,0.52
-8.316000e+00,0.04
-8.314000e+00,0.52
-8.312000e+00,0.04
-8.310000e+00,0.52
-8.308000e+00,0.04
-8.306000e+00,0.44
-8.304000e+00,0.04
-8.302000e+00,0.52
-8.300000e+00,0.04
-8.298000e+00,0.44
-8.296000e+00,0.04
-8.294000e+00,0.52
-8.292000e+00,0.04
-8.290000e+00,0.52
-8.288000e+00,0.04
-8.286000e+00,0.52
-8.284000e+00,0.04
-8.282000e+00,0.44
-8.280000e+00,0.04
-8.278000e+00,0.52
-8.276000e+00,0.04
-8.274000e+00,0.44
-8.272000e+00,0.04
-8.270000e+00,0.52
-8.268000e+00,0.04
-8.266000e+00,0.52
-8.264000e+00,0.04
-8.262000e+00,0.44
-8.260000e+00,0.04
-8.258000e+00,0.52
-8.256000e+00,0.04
-8.254000e+00,0.44
-8.252000e+00,0.04
-8.250000e+00,0.44
-8.248000e+00,0.04
-8.246000e+00,0.52
-8.244000e+00,0.04
-8.242000e+00,0.52
-8.240000e+00,0.04
-8.238000e+00,0.52
-8.236000e+00,0.04
-8.234000e+00,0.44
-8.232000e+00,0.04
-8.230000e+00,0.52
-8.228000e+00,0.04
-8.226000e+00,0.52
-8.224000e+00,0.04
-8.222000e+00,0.44
-8.220000e+00,0.04
-8.218000e+00,0.52
-8.216000e+00,0.04
-8.214000e+00,0.44
-8.212000e+00,0.04
-8.210000e+00,0.52
-8.208000e+00,0.04
-8.206000e+00,0.52
-8.204000e+00,0.04
-8.202000e+00,0.44
-8.200000e+00,0.04
-8.198000e+00,0.44
-8.196000e+00,0.04
-8.194000e+00,0.52
-8.192000e+00,0.04
-8.190000e+00,0.44
-8.188000e+00,0.04
-8.186000e+00,0.52
-8.184000e+00,0.04
-8.182000e+00,0.52
-8.180000e+00,0.04
-8.178000e+00,0.52
-8.176000e+00,0.04
-8.174000e+00,0.44
-8.172000e+00,0.04
-8.170000e+00,0.44
-8.168000e+00,0.04
-8.166000e+00,0.44
-8.164000e+00,0.04
-8.162000e+00,0.44
-8.160000e+00,0.04
-8.158000e+00,0.44
-8.156000e+00,0.04
-8.154000e+00,0.44
-8.152000e+00,0.04
-8.150000e+00,0.44
-8.148000e+00,0.04
-8.146000e+00,0.44
-8.144000e+00,0.04
-8.142000e+00,0.44
-8.140000e+00,-0.04
-8.138000e+00,0.44
-8.136000e+00,0.04
-8.134000e+00,0.44
-8.132000e+00,0.04
-8.130000e+00,0.52
-8.128000e+00,0.04
-8.126000e+00,0.52
-8.124000e+00,0.04
-8.122000e+00,0.52
-8.120000e+00,0.04
-8.118000e+00,0.44
-8.116000e+00,0.04
-8.114000e+00,0.44
-8.112000e+00,0.04
-8.110000e+00,0.44
-8.108000e+00,0.04
-8.106000e+00,0.52
-8.104000e+00,0.04
-8.102000e+00,0.52
-8.100000e+00,0.04
-8.098000e+00,0.44
-8.096000e+00,0.04
-8.094000e+00,0.52
-8.092000e+00,-0.04
-8.090000e+00,0.52
-8.088000e+00,0.04
-8.086000e+00,0.44
-8.084000e+00,0.04
-8.082000e+00,0.44
-8.080000e+00,0.04
-8.078000e+00,0.44
-8.076000e+00,0.04
-8.074000e+00,0.52
-8.072000e+00,0.04
-8.070000e+00,0.44
-8.068000e+00,0.04
-8.066000e+00,0.44
-8.064000e+00,0.04
-8.062000e+00,0.44
-8.060000e+00,0.04
-8.058000e+00,0.44
-8.056000e+00,0.04
-8.054000e+00,0.52
-8.052000e+00,0.04
-8.050000e+00,0.52
-8.048000e+00,0.04
-8.046000e+00,0.52
-8.044000e+00,0.04
-8.042000e+00,0.52
-8.040000e+00,0.04
-8.038000e+00,0.44
-8.036000e+00,0.04
-8.034000e+00,0.52
-8.032000e+00,0.04
-8.030000e+00,0.44
-8.028000e+00,0.04
-8.026000e+00,0.52
-8.024000e+00,0.04
-8.022000e+00,0.52
-8.020000e+00,0.04
-8.018000e+00,0.52
-8.016000e+00,0.04
-8.014000e+00,0.44
-8.012000e+00,0.04
-8.010000e+00,0.52
-8.008000e+00,0.04
-8.006000e+00,0.52
-8.004000e+00,0.04
-8.002000e+00,0.52
-8.000000e+00,0.04
-7.998000e+00,0.52
-7.996000e+00,0.04
-7.994000e+00,0.52
-7.992000e+00,0.04
-7.990000e+00,0.44
-7.988000e+00,0.04
-7.986000e+00,0.52
-7.984000e+00,0.04
-7.982000e+00,0.52
-7.980000e+00,0.04
-7.978000e+00,0.52
-7.976000e+00,0.04
-7.974000e+00,0.52
-7.972000e+00,0.04
-7.970000e+00,0.44
-7.968000e+00,0.04
-7.966000e+00,0.52
-7.964000e+00,0.04
-7.962000e+00,0.52
-7.960000e+00,0.04
-7.958000e+00,0.52
-7.956000e+00,0.04
-7.954000e+00,0.44
-7.952000e+00,0.04
-7.950000e+00,0.52
-7.948000e+00,0.04
-7.946000e+00,0.44
-7.944000e+00,0.04
-7.942000e+00,0.52
-7.940000e+00,0.04
-7.938000e+00,0.52
-7.936000e+00,0.04
-7.934000e+00,0.44
-7.932000e+00,0.04
-7.930000e+00,0.52
-7.928000e+00,0.04
-7.926000e+00,0.44
-7.924000e+00,0.04
-7.922000e+00,0.52
-7.920000e+00,0.04
-7.918000e+00,0.52
-7.916000e+00,0.04
-7.914000e+00,0.52
-7.912000e+00,0.04
-7.910000e+00,0.52
-7.908000e+00,0.04
-7.906000e+00,0.44
-7.904000e+00,0.04
-7.902000e+00,0.44
-7.900000e+00,0.04
-7.898000e+00,0.52
-7.896000e+00,0.04
-7.894000e+00,0.44
-7.892000e+00,0.04
-7.890000e+00,0.52
-7.888000e+00,0.04
-7.886000e+00,0.52
-7.884000e+00,0.04
-7.882000e+00,0.44
